code,name,行业,总市值_亿元,流通市值_亿元,样本标识,更新时间
603171,税友股份,互联网服务,20231917550.0,20209263100.0,扩展500只,2025-09-26 11:54:53
300682,朗新集团,软件开发,21064823052.0,20164355289.0,扩展500只,2025-09-26 11:54:53
002015,协鑫能科,电力行业,19966892752.0,19966892752.0,扩展500只,2025-09-26 11:54:53
603589,口子窖,酿酒行业,19923359612.0,19923359612.0,扩展500只,2025-09-26 11:54:53
600546,山煤国际,煤炭行业,19765087716.0,19765087716.0,扩展500只,2025-09-26 11:54:53
002747,埃斯顿,通用设备,21836432617.0,19614897186.0,扩展500只,2025-09-26 11:54:53
600970,中材国际,工程建设,22914835700.0,19546117363.0,扩展500只,2025-09-26 11:54:53
002044,美年健康,医疗服务,19688697233.0,19487364964.0,扩展500只,2025-09-26 11:54:53
688205,德科立,光学光电子,19334552937.0,19334552937.0,扩展500只,2025-09-26 11:54:53
002896,中大力德,通用设备,18734506131.0,18734506131.0,扩展500只,2025-09-26 11:54:53
000537,中绿电,电力行业,18661419239.0,18661419239.0,扩展500只,2025-09-26 11:54:53
601333,广深铁路,铁路公路,23163165990.0,18482814990.0,扩展500只,2025-09-26 11:54:53
600383,金地集团,房地产开发,18464646809.0,18464646809.0,扩展500只,2025-09-26 11:54:53
603678,火炬电子,电子元件,17876549659.0,17876549659.0,扩展500只,2025-09-26 11:54:53
002407,多氟多,化学制品,19642137389.0,17829088629.0,扩展500只,2025-09-26 11:54:53
601965,中国汽研,汽车服务,17924590831.0,17762718652.0,扩展500只,2025-09-26 11:54:53
603305,旭升集团,汽车零部件,17693580410.0,17693580410.0,扩展500只,2025-09-26 11:54:53
000099,中信海直,航空机场,17307431756.0,17307431756.0,扩展500只,2025-09-26 11:54:53
603927,中科软,软件开发,17210838400.0,17210838400.0,扩展500只,2025-09-26 11:54:53
603667,五洲新春,通用设备,17116317470.0,17116317470.0,扩展500只,2025-09-26 11:54:53
603077,和邦生物,化学原料,16867916180.0,16867916180.0,扩展500只,2025-09-26 11:54:53
600056,XD中国医,医药商业,16753853178.0,16747936554.0,扩展500只,2025-09-26 11:54:53
300409,道氏技术,非金属材料,18938247152.0,16644124233.0,扩展500只,2025-09-26 11:54:53
002432,九安医疗,医疗器械,18332612523.0,16617834355.0,扩展500只,2025-09-26 11:54:53
603583,捷昌驱动,专用设备,16604807725.0,16604807725.0,扩展500只,2025-09-26 11:54:53
603983,丸美生物,美容护理,15887620000.0,15887620000.0,扩展500只,2025-09-26 11:54:53
300083,创世纪,通用设备,17447759933.0,15647009043.0,扩展500只,2025-09-26 11:54:53
300657,弘信电子,电子元件,15991897754.0,15529836510.0,扩展500只,2025-09-26 11:54:53
001203,大中矿业,钢铁行业,17945474581.0,15380093977.0,扩展500只,2025-09-26 11:54:53
300133,华策影视,文化传媒,17590162480.0,15034012819.0,扩展500只,2025-09-26 11:54:53
603218,日月股份,风电设备,15054381413.0,15019609613.0,扩展500只,2025-09-26 11:54:53
601156,东航物流,物流行业,25210382229.0,15000177429.0,扩展500只,2025-09-26 11:54:53
300762,上海瀚讯,通信设备,14995822635.0,14995822635.0,扩展500只,2025-09-26 11:54:53
002698,博实股份,专用设备,18119778670.0,14910282264.0,扩展500只,2025-09-26 11:54:53
002020,京新药业,化学制药,17642487079.0,14834111184.0,扩展500只,2025-09-26 11:54:53
300070,碧水源,环保行业,15801552823.0,14701214539.0,扩展500只,2025-09-26 11:54:53
603185,弘元绿能,光伏设备,14619348009.0,14619348009.0,扩展500只,2025-09-26 11:54:53
002607,中公教育,教育,17392066277.0,14336872606.0,扩展500只,2025-09-26 11:54:53
000061,农 产 品,贸易行业,14101771929.0,14101513280.0,扩展500只,2025-09-26 11:54:53
300101,振芯科技,通信设备,14084061360.0,14037876692.0,扩展500只,2025-09-26 11:54:53
000837,秦川机床,通用设备,14157681018.0,13982730558.0,扩展500只,2025-09-26 11:54:53
002326,永太科技,化学制品,16000179746.0,13978937509.0,扩展500只,2025-09-26 11:54:53
002654,万润科技,文化传媒,13930585925.0,13929597125.0,扩展500只,2025-09-26 11:54:53
002984,森麒麟,橡胶制品,20011190543.0,13783523763.0,扩展500只,2025-09-26 11:54:53
002338,奥普光电,仪器仪表,13771200000.0,13771200000.0,扩展500只,2025-09-26 11:54:53
688668,鼎通科技,通信设备,13760090615.0,13760090615.0,扩展500只,2025-09-26 11:54:53
600064,南京高科,房地产开发,13617772998.0,13617772998.0,扩展500只,2025-09-26 11:54:53
002536,飞龙股份,汽车零部件,14340907906.0,13583209140.0,扩展500只,2025-09-26 11:54:53
300353,东土科技,通信设备,15526045245.0,13565790306.0,扩展500只,2025-09-26 11:54:53
000811,冰轮环境,通用设备,13738111927.0,13541779320.0,扩展500只,2025-09-26 11:54:53
688016,心脉医疗,医疗器械,13539110931.0,13539110931.0,扩展500只,2025-09-26 11:54:53
605020,永和股份,化学制品,13739667758.0,13519562518.0,扩展500只,2025-09-26 11:54:53
600717,天津港,航运港口,13457104827.0,13457104827.0,扩展500只,2025-09-26 11:54:53
300428,立中集团,汽车零部件,15315948121.0,13343618463.0,扩展500只,2025-09-26 11:54:53
600072,中船科技,风电设备,18407147871.0,13270882121.0,扩展500只,2025-09-26 11:54:53
