code,name,float_market_cap,total_market_cap,pe_ttm,pb,turnover_rate,amount,volume_ratio,industry,selected,selection_timestamp
600795,国电电力,90248232555.0,90248232555.0,12.24,1.56,0.69,632611996.0,1.09,电力行业,1,2025-09-18T14:20:04
000938,紫光股份,89234492069.0,89234492069.0,42.86,6.32,9.34,8224484093.71,1.91,互联网服务,1,2025-09-18T14:20:04
000988,华工科技,89001529784.0,89047319732.0,48.87,8.48,9.8,8584108069.42,1.15,电子元件,1,2025-09-18T14:20:04
300450,先导智能,88590329962.0,88973721962.0,60.1,7.23,12.96,11319869066.28,1.2,电池,1,2025-09-18T14:20:04
002558,巨人网络,88321365392.0,88321365392.0,56.83,6.42,2.23,2007614261.65,0.9,游戏,1,2025-09-18T14:20:04
600489,中金黄金,87930249911.0,87930249911.0,16.31,3.11,1.77,1573587543.0,0.91,贵金属,1,2025-09-18T14:20:04
300442,润泽科技,87671656752.0,87993057970.0,49.88,8.24,2.21,1979054503.29,1.14,互联网服务,1,2025-09-18T14:20:04
600580,卧龙电驱,85900841930.0,85900841930.0,79.95,8.21,16.51,13911263179.0,1.24,电机,1,2025-09-18T14:20:04
300408,三环集团,84795793571.0,86913155775.0,35.13,4.29,1.95,1681613377.53,1.2,电子元件,1,2025-09-18T14:20:04
601939,建设银行,84328250357.0,2299467353025.0,7.09,0.68,1.56,1329357457.0,1.68,银行,1,2025-09-18T14:20:04
002179,中航光电,84206287160.0,85726429394.0,29.83,3.66,1.19,998561685.69,1.94,电子元件,1,2025-09-18T14:20:04
600011,华能国际,81603007599.0,116479852724.0,6.29,1.88,0.67,548672182.0,1.24,电力行业,1,2025-09-18T14:20:04
000100,TCL科技,80168584319.0,92147820640.0,24.46,1.48,3.62,2919471437.37,1.96,光学光电子,1,2025-09-18T14:20:04
601868,中国能建,79774669985.0,102560262545.0,18.3,0.94,1.41,1137300408.0,1.42,工程建设,1,2025-09-18T14:20:04
600089,特变电工,79632010919.0,79632010919.0,12.51,1.2,5.62,4523838585.0,2.13,电网设备,1,2025-09-18T14:20:04
001979,招商蛇口,78409535231.0,83993951361.0,29.0,0.85,0.86,678170973.95,1.3,房地产开发,1,2025-09-18T14:20:04
600958,东方证券,78130790757.0,88874909754.0,12.83,1.11,1.63,1285550220.0,0.89,证券,1,2025-09-18T14:20:04
600938,中国海油,78068900000.0,1241007098522.0,8.92,1.58,1.46,1148915455.0,1.22,石油行业,1,2025-09-18T14:20:04
600188,兖矿能源,77484756979.0,131290245516.0,14.11,2.2,0.87,680669432.0,1.37,煤炭行业,1,2025-09-18T14:20:04
688183,生益电子,77234596099.0,77234596099.0,72.79,16.19,1.94,1471353823.0,0.74,电子元件,1,2025-09-18T14:20:04
002920,德赛西威,76642498111.0,76893775147.0,31.45,7.98,2.98,2313058500.16,1.44,汽车零部件,1,2025-09-18T14:20:04
600673,东阳光,75068963754.0,75268972026.0,61.43,7.97,2.9,2192673082.0,0.7,综合行业,1,2025-09-18T14:20:04
601669,中国电建,73854121053.0,97327800237.0,8.97,0.68,1.65,1226827790.0,0.92,工程建设,1,2025-09-18T14:20:04
