date,long,short,ls_gross,turnover,cost_bps,ls_net,overlap_long,overlap_short,long_turnover,short_turnover,added_long,removed_long,added_short,removed_short,cum_ls_net,cum_ls_gross,drawdown
2022-09-29,0.004470429729566158,0.004470429729566158,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-10-10,0.0034815706500845233,0.0034815706500845233,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-10-12,-0.004905286997394823,-0.004905286997394823,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-10-14,0.0053522420878909,0.0053522420878909,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-01,0.0137984990436416,0.0137984990436416,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-02,-0.0026725723888556888,-0.0026725723888556888,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-03,0.028529424207646564,0.028529424207646564,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-04,0.0029292159113458653,0.0029292159113458653,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-07,0.0015923239679501472,0.0015923239679501472,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-08,-0.0075833858365068115,-0.0075833858365068115,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-09,-0.004229224798157329,-0.004229224798157329,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-10,0.03153331943344919,0.03153331943344919,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-11-11,-0.0007688308179550185,-0.0007688308179550185,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
