code,industry
301448,通用设备
688311,通信设备
600513,化学制药
002274,化肥行业
300940,光学光电子
300004,专用设备
600897,航空机场
002361,塑料制品
001288,工程机械
301190,化学制品
600400,纺织服装
000722,电力行业
688389,医疗器械
002279,软件开发
600207,光伏设备
301021,电子元件
300788,文化传媒
603861,电网设备
603035,汽车零部件
300981,医疗器械
601789,工程建设
603890,消费电子
002889,物流行业
002264,互联网服务
300617,电网设备
600626,汽车零部件
301099,贸易行业
301398,汽车零部件
920060,电子元件
603062,化学原料
002148,通信服务
605018,汽车零部件
002449,光学光电子
002577,消费电子
000726,纺织服装
600288,电子元件
688293,专业服务
002367,专用设备
688023,软件开发
601700,电网设备
601121,钢铁行业
300057,有色金属
300237,汽车零部件
600617,燃气
300894,家电行业
688286,半导体
688302,生物制品
002672,环保行业
000926,房地产开发
301618,化学制品
000862,电力行业
300752,光学光电子
603032,电池
002365,化学制药
002688,农药兽药
603018,工程咨询服务
688663,电网设备
833509,电网设备
300993,家用轻工
000925,交运设备
688152,软件开发
835174,工程机械
002132,通用设备
002095,互联网服务
300611,汽车零部件
603901,专用设备
605208,汽车零部件
603155,化学制品
300683,生物制品
000532,综合行业
300484,专用设备
002178,软件开发
430418,通用设备
002786,专用设备
830946,化学制药
603386,电子元件
002658,仪器仪表
301220,化学制品
002627,旅游酒店
688181,光学光电子
000710,医疗器械
688075,医疗器械
300700,通用设备
002956,食品饮料
