date,long,short,ls_gross,turnover,cost_bps,ls_net,cum_ls_net,cum_ls_gross,drawdown
2023-02-16,-0.006704468355236704,-0.006088858358032283,-0.0006156099972044211,0.9,0.0005,-0.0010656099972044212,0.030678653120353182,0.12761615312035315,-0.12731303062285712
2023-02-17,0.015092979869422679,0.017217155522922745,-0.0021241756535000655,1.0,0.0005,-0.0026241756535000656,0.028054477466853116,0.1254919774668531,-0.1299372062763572
2023-02-20,0.0036370138047414984,0.009516353189389174,-0.005879339384647676,0.7000000000000001,0.0005,-0.006229339384647675,0.02182513808220544,0.11961263808220542,-0.13616654566100486
2023-02-21,0.003634813315811275,-0.0013458159522157273,0.004980629268027002,0.8,0.0005,0.004580629268027002,0.026405767350232444,0.12459326735023242,-0.13158591639297784
2023-02-22,-0.0019656513292678826,0.00012307101311530478,-0.0020887223423831872,0.7999999999999999,0.0005,-0.0024887223423831874,0.023917045007849257,0.12250454500784923,-0.13407463873536105
2023-02-23,-0.003483335621933273,-0.00516780205274143,0.0016844664308081573,0.7000000000000001,0.0005,0.0013344664308081572,0.025251511438657413,0.12418901143865739,-0.13274017230455287
2023-02-24,-0.005481753635351178,-0.013017655486244426,0.0075359018508932485,0.7749999999999999,0.0005,0.007148401850893249,0.032399913289550664,0.13172491328955063,-0.12559177045365963
2023-02-27,0.010412660972003388,0.008284513573741825,0.002128147398261563,0.775,0.0005,0.001740647398261563,0.034140560687812224,0.1338530606878122,-0.12385112305539807
2023-02-28,0.005108253488000272,0.01957613364466473,-0.014467880156664458,0.85,0.0005,-0.014892880156664458,0.019247680531147768,0.11938518053114773,-0.13874400321206254
2023-03-01,0.00026000863237859734,-0.01122656259488732,0.011486571227265919,0.725,0.0005,0.011124071227265919,0.03037175175841369,0.13087175175841365,-0.1276199319847966
2023-03-02,0.0005095930336282476,0.00516396951519975,-0.004654376481571502,0.8,0.0005,-0.0050543764815715025,0.025317375276842184,0.12621737527684215,-0.1326743084663681
2023-03-03,0.010334728559732258,-0.004145371364272413,0.014480099924004671,0.725,0.0005,0.014117599924004671,0.03943497520084686,0.14069747520084683,-0.11855670854236344
2023-03-06,-0.01375819810018591,-0.025080615450949674,0.011322417350763765,0.75,0.0005,0.010947417350763764,0.05038239255161062,0.15201989255161058,-0.10760929119159968
2023-03-07,0.013670323072245121,0.0018676023507742299,0.011802720721470891,0.75,0.0005,0.01142772072147089,0.061810113273081516,0.16382261327308148,-0.09618157047012878
2023-03-08,0.0029711977062845027,-0.007923698923009464,0.010894896629293967,0.75,0.0005,0.010519896629293967,0.07233000990237548,0.17471750990237545,-0.08566167384083481
2023-03-09,-0.015345179339674674,-0.01451302480013956,-0.0008321545395351144,0.625,0.0005,-0.0011446545395351144,0.07118535536284036,0.17388535536284033,-0.08680632838036993
2023-03-10,0.00258211515447962,0.010567390987095294,-0.007985275832615674,0.675,0.0005,-0.008322775832615674,0.06286257953022469,0.16590007953022465,-0.09512910421298561
2023-03-13,-0.01297599791859134,-0.0046676577416412,-0.00830834017695014,0.825,0.0005,-0.008720840176950139,0.05414173935327454,0.1575917393532745,-0.10384994438993575
2023-03-14,0.017222690462948175,0.0021434967554057978,0.015079193707542377,0.625,0.0005,0.014766693707542376,0.06890843306081693,0.17267093306081688,-0.08908325068239337
2023-03-15,-0.00719232568527311,-0.019671309636067728,0.012478983950794617,0.6000000000000001,0.0005,0.012178983950794618,0.08108741701161154,0.1851499170116115,-0.07690426673159875
2023-03-16,0.00842701258707773,0.004526773652239257,0.0039002389348384726,0.525,0.0005,0.0036377389348384724,0.08472515594645001,0.18905015594644997,-0.07326652779676028
2023-03-17,-0.0005089231452326448,0.0012938836825996142,-0.001802806827832259,0.625,0.0005,-0.002115306827832259,0.08260984911861775,0.1872473491186177,-0.07538183462459254
2023-03-20,0.006704317525057934,0.02083570460010533,-0.014131387075047396,0.6,0.0005,-0.014431387075047396,0.06817846204357036,0.1731159620435703,-0.08981322169963993
2023-03-21,0.004665363012597371,0.003229706551381402,0.0014356564612159686,0.8,0.0005,0.0010356564612159687,0.06921411850478633,0.17455161850478626,-0.08877756523842396
2023-03-22,-0.0024823755333995222,0.008209811441290989,-0.010692186974690512,0.5750000000000001,0.0005,-0.010979686974690511,0.05823443153009582,0.16385943153009574,-0.09975725221311448
2023-03-23,0.003842958723447419,0.002395408689288252,0.0014475500341591674,0.675,0.0005,0.0011100500341591673,0.05934448156425499,0.1653069815642549,-0.09864720217895531
2023-03-24,-0.0017558951316725472,0.006857911440597231,-0.008613806572269778,0.625,0.0005,-0.008926306572269779,0.05041817499198521,0.15669317499198512,-0.10757350875122508
2023-03-27,-0.011750736378090137,-0.0021673590732227206,-0.009583377304867417,0.625,0.0005,-0.009895877304867417,0.04052229768711779,0.1471097976871177,-0.1174693860560925
2023-03-28,-0.009560607954140002,-0.008118431564662174,-0.0014421763894778283,0.8250000000000001,0.0005,-0.0018546763894778284,0.03866762129763996,0.14566762129763988,-0.11932406244557034
2023-03-29,-9.004062410093976e-05,-0.0037071483157175298,0.00361710769161659,0.725,0.0005,0.00325460769161659,0.04192222898925655,0.14928472898925646,-0.11606945475395375
2023-03-30,0.007192970290585155,0.016512192475103098,-0.009319222184517943,0.75,0.0005,-0.009694222184517943,0.032228006804738606,0.13996550680473852,-0.12576367693847168
